treat,age,educ,race,married,nodegree,re74,re75,re78,age_new,educ_new,race_new,married_new,nodegree_new,re74_new,re75_new,PS
1,37,11,1,1,1,,0.0,9930.046,36.87896996628165,9.269597926133335,1.0103176725462597,0.992788413537085,0.9393561339238286,2508.9586195801253,104.61961643691767,0.41963836550712585
1,22,9,2,0,1,,,3595.8940000000002,22.058852380897253,9.031121636486947,2.010375647285044,0.002382094094298314,1.0058316513918637,2433.479137901582,783.5825745362398,0.33552441000938416
1,30,12,1,0,0,0.0,0.0,24909.45,29.312312854931207,12.618759856315613,0.9870983316316018,-0.004868894562060478,0.0062708651956948445,-7.81952446669773,1.717360533861964,0.5666517615318298
1,27,11,1,0,1,0.0,0.0,7506.146,26.431691824648233,9.749157612733423,0.9823333253294984,-0.004816263608092907,0.9628540369268656,-138.1730648827335,-220.54046049282329,0.6154658198356628
1,33,8,1,0,1,0.0,0.0,289.7899,31.445599624184695,8.361330556471616,0.9905947790952521,0.0015155441381982527,1.01593655613482,-219.37541875912618,-5.255532618325562,0.6132264733314514
1,22,9,1,0,1,,0.0,4056.494,22.539352614470214,9.000480078998507,1.0028629782954688,-0.005338326312581542,1.0030131833405493,1809.601285044188,252.2585327212083,0.600655734539032
1,23,12,1,0,0,0.0,0.0,0.0,23.38332552767968,12.807072397294998,0.9933715746192197,-0.007195444988126401,0.013541328292224555,-184.76687903820638,32.006031483639134,0.564872145652771
1,32,11,1,0,1,,,8472.158000000001,30.66767154990509,9.610710558762014,0.9850529972234676,0.001146327453533653,0.9542598134164213,2664.6716133367186,594.9365804721405,0.5801827907562256
1,22,16,1,0,0,,,2164.022,22.644851407916278,14.464950173038842,0.9880983937628353,-0.008772160316841675,-0.06265569038313627,2770.959030991051,567.1940305498835,0.5319051742553711
1,33,12,3,1,0,0.0,0.0,12418.07,33.08971779654863,12.30429443528849,2.9985809782328605,0.9975753865552544,0.01673462052703276,612.8681643466697,44.84251115743501,0.08140850812196732
